epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.9336,0.85563,1.75781,1.18436,0.58841,0.90202,0.84709,0.65712,0.4946,39.0556,0.75579,0.000554123,0.000554123,0.000554123
2,117.085,0.89857,0.90675,1.19787,0.95906,0.74353,0.83896,0.67888,0.43762,2.4624,0.76925,0.00108782,0.00108782,0.00108782
3,178.53,0.89528,0.71753,1.18771,0.92843,0.91929,0.9655,0.76185,0.455,14.8973,0.74469,0.0015995,0.0015995,0.0015995
4,243.68,0.8574,0.63645,1.16635,0.97453,0.9774,0.98786,0.80166,0.43744,1.03934,0.73076,0.00156798,0.00156798,0.00156798
5,310.413,0.84078,0.59807,1.15189,0.97124,0.90113,0.94304,0.79948,0.39184,0.46327,0.70314,0.00153497,0.00153497,0.00153497
